  n  	my Bessel(n,1.0000000e+00)	  j(n,1.0000000e+00)  
2.3000000e+01	8.3001224e-31	8.3001186e-31
2.2000000e+01	3.8993630e-29	3.8993623e-29
2.1000000e+01	1.7538832e-27	1.7538824e-27
2.0000000e+01	7.5377983e-26	7.5377964e-26
1.9000000e+01	3.0887435e-24	3.0887431e-24
1.8000000e+01	1.2038561e-22	1.2038561e-22
1.7000000e+01	4.4511792e-21	4.4511784e-21
1.6000000e+01	1.5567089e-19	1.5567089e-19
1.5000000e+01	5.1326884e-18	5.1326880e-18
1.4000000e+01	1.5895767e-16	1.5895767e-16
1.3000000e+01	4.6046397e-15	4.6046363e-15
1.2000000e+01	1.2416632e-13	1.2416626e-13
1.1000000e+01	3.0995534e-12	3.0995514e-12
1.0000000e+01	7.1165566e-11	7.1165560e-11
9.0000000e+00	1.4913774e-09	1.4913769e-09
8.0000000e+00	2.8265003e-08	2.8264994e-08
7.0000000e+00	4.7901364e-07	4.7901347e-07
6.0000000e+00	7.1569398e-06	7.1569384e-06
5.0000000e+00	9.2561204e-05	9.2561153e-05
4.0000000e+00	1.0110163e-03	1.0110161e-03
3.0000000e+00	9.0065850e-03	9.0065813e-03
2.0000000e+00	6.2035080e-02	6.2035054e-02
1.0000000e+00	3.0116880e-01	3.0116868e-01
0.0000000e+00	8.4147131e-01	8.4147120e-01
