phi	x	y	    e^z    	   ln(z)   	   sqrt(z)   	   atan(y/x)   
-------------------------------------------------------------------------------------
-12.57	2.00	0.00	(7.39,0.00)	(0.69,0.00)	(1.41,0.00)	0.00
-11.78	1.41	1.41	(0.64,4.06)	(0.69,0.79)	(1.31,0.54)	0.79
-11.00	-0.00	2.00	(-0.42,0.91)	(0.69,1.57)	(1.00,1.00)	-1.57
-10.21	-1.41	1.41	(0.04,0.24)	(0.69,2.36)	(0.54,1.31)	-0.79
-9.42	-2.00	-0.00	(0.14,-0.00)	(0.69,-3.14)	(0.00,-1.41)	0.00
-8.64	-1.41	-1.41	(0.04,-0.24)	(0.69,-2.36)	(0.54,-1.31)	0.79
-7.85	0.00	-2.00	(-0.42,-0.91)	(0.69,-1.57)	(1.00,-1.00)	-1.57
-7.07	1.41	-1.41	(0.64,-4.06)	(0.69,-0.79)	(1.31,-0.54)	-0.79
-6.28	2.00	0.00	(7.39,0.00)	(0.69,0.00)	(1.41,0.00)	0.00
-5.50	1.41	1.41	(0.64,4.06)	(0.69,0.79)	(1.31,0.54)	0.79
-4.71	-0.00	2.00	(-0.42,0.91)	(0.69,1.57)	(1.00,1.00)	-1.57
-3.93	-1.41	1.41	(0.04,0.24)	(0.69,2.36)	(0.54,1.31)	-0.79
-3.14	-2.00	-0.00	(0.14,-0.00)	(0.69,-3.14)	(0.00,-1.41)	0.00
-2.36	-1.41	-1.41	(0.04,-0.24)	(0.69,-2.36)	(0.54,-1.31)	0.79
-1.57	0.00	-2.00	(-0.42,-0.91)	(0.69,-1.57)	(1.00,-1.00)	-1.57
-0.79	1.41	-1.41	(0.64,-4.06)	(0.69,-0.79)	(1.31,-0.54)	-0.79
0.00	2.00	0.00	(7.39,0.00)	(0.69,0.00)	(1.41,0.00)	0.00
0.79	1.41	1.41	(0.64,4.06)	(0.69,0.79)	(1.31,0.54)	0.79
1.57	-0.00	2.00	(-0.42,0.91)	(0.69,1.57)	(1.00,1.00)	-1.57
2.36	-1.41	1.41	(0.04,0.24)	(0.69,2.36)	(0.54,1.31)	-0.79
3.14	-2.00	-0.00	(0.14,-0.00)	(0.69,-3.14)	(0.00,-1.41)	0.00
3.93	-1.41	-1.41	(0.04,-0.24)	(0.69,-2.36)	(0.54,-1.31)	0.79
4.71	0.00	-2.00	(-0.42,-0.91)	(0.69,-1.57)	(1.00,-1.00)	-1.57
5.50	1.41	-1.41	(0.64,-4.06)	(0.69,-0.79)	(1.31,-0.54)	-0.79
6.28	2.00	0.00	(7.39,0.00)	(0.69,0.00)	(1.41,0.00)	0.00
7.07	1.41	1.41	(0.64,4.06)	(0.69,0.79)	(1.31,0.54)	0.79
7.85	-0.00	2.00	(-0.42,0.91)	(0.69,1.57)	(1.00,1.00)	-1.57
8.64	-1.41	1.41	(0.04,0.24)	(0.69,2.36)	(0.54,1.31)	-0.79
9.42	-2.00	-0.00	(0.14,-0.00)	(0.69,-3.14)	(0.00,-1.41)	0.00
10.21	-1.41	-1.41	(0.04,-0.24)	(0.69,-2.36)	(0.54,-1.31)	0.79
11.00	0.00	-2.00	(-0.42,-0.91)	(0.69,-1.57)	(1.00,-1.00)	-1.57
11.78	1.41	-1.41	(0.64,-4.06)	(0.69,-0.79)	(1.31,-0.54)	-0.79
